"Main","Middle","Sub","Address","Central","Unfiltered","Description","DatapointType","Security"
 , ,"Sfeer 4 hoofdslaapkamer (uit)","15/0/25","","","","","Auto"
 , ,"Sfeer 1 bureau","15/0/26","","","","","Auto"
 , ,"Sfeer 2 bureau","15/0/27","","","","","Auto"
 , ,"Sfeer 3 bureau","15/0/28","","","","","Auto"
 , ,"Sfeer 4 bureau (uit)","15/0/29","","","","","Auto"
 , ,"Beneden alles uit","15/0/30","","","","","Auto"
 , ,"Boven alles uit","15/0/31","","","","","Auto"
 , ,"Ga naar beneden","15/0/32","","","","","Auto"
 , ,"Nachtverlichting trap+hal","15/0/33","","","","","Auto"
 , ,"Sfeer afdak","15/0/100","","","","","Auto"
 ,"Tijd datum", ,"15/1/-","","","","","Auto"
 , ,"Tijd","15/1/0","","","","DPST-10-1","Auto"
 , ,"Datum","15/1/1","","","","DPST-11-1","Auto"
 ,"Varia", ,"15/2/-","","","","","Auto"
 , ,"Sturen garagepoort","15/2/0","","","","DPST-1-1","Auto"
 , ,"Sturen kleur WC ventje","15/2/1","","","","DPST-1-1","Auto"
 , ,"Sturen voordeur","15/2/2","","","","DPST-1-1","Auto"
 , ,"Sturen bel","15/2/3","","","","DPST-1-1","Auto"
 , ,"Niveau H","15/2/4","","","","DPST-1-1","Auto"
 , ,"Niveau L","15/2/5","","","","DPST-1-1","Auto"
 , ,"Trigger badkamer","15/2/6","","","","DPST-1-1","Auto"
 , ,"Trigger afdak","15/2/10","","","","DPST-1-1","Auto"
 , ,"Trigger binnen komen","15/2/11","","","","DPST-1-1","Auto"
 , ,"Twighlight","15/2/30","","","","DPST-1-1","Auto"
